SubsetSppID,AOU,CommonName,Route Expected,MeanN,logN,MeanLogN,AbundClass,Mass(g),logMass,66-04Trend,TrConf,NumRoutes2002,Brange_Area_km2,log_Brange_Area,Mean_Rel_Im,new_Im,Num_routes,migclass,migclass1,BiomeH,BiomeH_noMex,NumBiomes,OMI,Tol,1yr Prop,5yr Prop,10yr Prop,Foraging,Trophic Group,,,
68,4310,Anna's Hummingbird,42,2.9415520903,0.4685765435,0.2590762717,Low,4.25,0.6283889301,1.5,Y,66,492870.405965956,5.6927327421,0.51049,0.52362,37,resid,resid,2.4760241914,2.4760241914,22,5.3604726475,0.4025626315,0.19,0.405,0.548,hover/glean,nectarivore,,0.48951,0.47638
69,4320,Broad-tailed Hummingbird,26,6.68935097,0.8253839827,0.5108139419,Med,4,0.6020599913,-0.6,B,119,696133.319788617,5.8426924214,0.59843,0.59038,82,neotrop,migrant,2.9108253184,2.5042718144,20,13.976834547,0.7025729132,0.423,0.615,0.692,hover/glean,nectarivore,,0.40157,0.40962
70,4330,Rufous Hummingbird,81,2.8588943623,0.4561981082,0.2659410646,Low,4,0.6020599913,-2.3,B,93,1521468.45865454,6.1822629535,0.54157,0.55098,75,neotrop,migrant,2.2592376114,2.2592376114,16,6.6850984498,1.4193763026,0.346,0.519,0.63,hover/glean,nectarivore,,0.45843,0.44902
72,4360,Calliope Hummingbird,82,1.646692112,0.2166124051,0.1073769772,Low,2.75,0.4393326938,0.6,Y,40,1200652.88479894,6.0794174687,0.52575,0.48826,22,neotrop,migrant,2.1417630291,2.1417630291,20,5.3487122122,0.5158516382,0.159,0.244,0.341,hover/glean,nectarivore,,0.47425,0.51174
78,4430,Scissor-tailed Flycatcher,59,16.064525769,1.2058679095,0.8400213589,High,43,1.6334684556,-0.3,Y,192,1446335.40507,6.1602690175,0.57605,0.54631,187,neotrop,migrant,1.9236198882,1.9236198882,16,5.6607246183,0.4077864149,0.576,0.746,0.797,hawks,insectivore,,0.42395,0.45369
79,4440,Eastern Kingbird,687,5.1200665663,0.7092756073,0.5053928715,Med,44,1.6434526765,-0.9,B,1399,9104097.94884144,6.9592369215,0.51549,0.5086,1073,neotrop,migrant,1.9737040486,1.9737040486,26,0.598506378,0.6507717155,0.712,0.862,0.904,hawks,insectivore,,0.48451,0.4914
80,4450,Gray Kingbird,24,5.355952381,0.7288367071,0.3522310933,Low,44,1.6434526765,,,5,577234.201847063,5.7613520557,0.52872,0.44381,4,neotrop,migrant,1.7926368406,0.7357792982,5,17.520696702,0.4891949468,0.042,0.042,0.083,hawks,insectivore,,0.47128,0.55619
84,4470,Western Kingbird,233,9.7749680089,0.9901153447,0.6221478412,High,40,1.6020599913,0.5,B,591,5061400.38319,6.7042706936,0.51125,0.49594,507,neotrop,migrant,2.4793861085,2.4425541491,34,3.0619685608,1.1855424587,0.588,0.712,0.773,hawks,insectivore,,0.48875,0.50406
85,4480,Cassin's Kingbird,21,6.0427949895,0.7812378604,0.5020268937,Med,46,1.6627578317,-0.1,B,72,1446281.14229524,6.1602527236,0.46018,0.45769,62,neotrop,migrant,2.6173319941,2.2470501549,26,8.5036399439,0.2036206915,0.571,0.619,0.667,hawks,insectivore,,0.53982,0.54231
88,4520,Great Crested Flycatcher,555,5.0015927886,0.6991083302,0.5116740002,Med,34,1.531478917,0,B,1182,5131591.76188547,6.7102520993,0.56424,0.56675,875,neotrop,migrant,1.4276025759,1.4267278875,14,2.5216596058,1.6474267346,0.8,0.944,0.973,hawks,insectivore,,0.43576,0.43325
89,4530,Brown-crested Flycatcher,16,9.9309340659,0.9969900985,0.495799,Med,44,1.6434526765,4.4,B,31,10404723.2633124,7.0172305337,0.57119,0.55988,26,short,migrant,3.1986219789,2.2254514322,24,8.4632859024,0.2400074227,0.5,0.563,0.688,hover/glean,insectivore,,0.42881,0.44012
90,4540,Ash-throated Flycatcher,133,10.150315889,1.0064795582,0.6637669501,High,27,1.4313637642,1,Y,279,3500603.462011,6.544142918,0.56115,0.55288,237,neotrop,migrant,2.900489805,2.810696262,31,6.0887532974,1.0958344641,0.556,0.617,0.669,hover/glean,insectivore,,0.43885,0.44712
92,4560,Eastern Phoebe,516,4.3068133284,0.6341560484,0.4718922727,Med,20,1.3010299957,0.9,Y,1155,6231356.7030612,6.7945826124,0.55759,0.54195,817,short,migrant,1.3868422638,1.3868422638,14,1.1113709656,0.2456146286,0.814,0.901,0.932,hawks,insectivore,,0.44241,0.45805
93,4570,Say's Phoebe,223,2.4723597808,0.3931116701,0.2501294307,Low,21,1.3222192947,1.6,Y,276,7184011.98734656,6.8563670483,0.52942,0.53468,173,short,migrant,2.6925311198,2.6575117094,35,6.49578619,0.8276182625,0.345,0.511,0.583,hawks,insectivore,,0.47058,0.46532
94,4580,Black Phoebe,35,2.8045107494,0.447857109,0.2715040336,Low,19,1.278753601,2,Y,73,2974843.54500314,6.47346413,0.5026,0.50088,44,resid,resid,3.1296632783,2.3504297167,28,4.6577656582,0.2335618599,0.343,0.514,0.629,hawks,insectivore,,0.4974,0.49912
95,4590,Olive-sided Flycatcher,401,2.73222073,0.4365157821,0.2882808993,Low,32,1.5051499783,-3.5,B,298,9975822.30837122,6.9989487048,0.51731,0.48803,180,neotrop,migrant,2.4898423947,2.4898423947,33,3.51140411,1.2001441704,0.167,0.319,0.397,hawks,insectivore,,0.48269,0.51197
97,4610,Eastern Wood-Pewee,524,4.5677754314,0.6597047443,0.5028333776,Med,14,1.1461280357,-1.8,B,1104,4075987.44886733,6.610232838,0.56607,0.56554,844,neotrop,migrant,1.1251816883,1.1251816883,13,1.6998142357,0.4981724137,0.798,0.937,0.968,hawks,insectivore,,0.43393,0.43446
98,4620,Western Wood-Pewee,262,6.3857052389,0.8052088678,0.4913997165,Med,13,1.1139433523,-1.2,B,484,6926205.14177685,6.8404953504,0.53636,0.53664,341,neotrop,migrant,2.9677312917,2.7808000969,35,4.2282581613,1.4014442258,0.492,0.687,0.752,hawks,insectivore,,0.46364,0.46336
99,4630,Yellow-bellied Flycatcher,138,3.9242414101,0.5937557163,0.3137212296,Med,12,1.079181246,1.7,Y,74,5311773.42322953,6.7252395417,0.49454,0.45514,47,neotrop,migrant,1.0099090328,1.0099090328,10,3.398708046,0.0835506624,0.116,0.203,0.239,hawks,insectivore,,0.50546,0.54486
100,4640,Cordilleran Flycatcher,99,3.8193053701,0.5819843835,0.3645409357,Med,10,1,-0.6,B,83,2349995.62949661,6.3710670546,0.56061,0.55782,58,neotrop,migrant,2.6334636371,2.357489571,22,9.011460913,1.1200246855,0.182,0.273,0.343,hawks,insectivore,,0.43939,0.44218
101,4641,Pacific-slope Flycatcher,59,10.17031259,1.0073343014,0.6424532431,High,10,1,-0.6,B,139,863571.594633764,5.9362983487,0.59892,0.5935,104,neotrop,migrant,2.3392318523,2.3392318523,20,8.6944378685,1.4555471508,0.593,0.746,0.814,hawks,insectivore,,0.40108,0.4065
102,4650,Acadian Flycatcher,400,3.5834711637,0.554303914,0.3431517775,Med,13,1.1139433523,-0.1,Y,494,3005323.65085354,6.4778912491,0.47607,0.46999,306,neotrop,migrant,1.3391024826,1.3391024826,10,2.9876372879,0.5536124103,0.458,0.6,0.66,hawks,insectivore,,0.52393,0.53001
103,4660,Willow Flycatcher,628,3.116875679,0.4937194802,0.2892811675,Low,13.25,1.1222158783,-0.9,B,519,7290941.89954199,6.8627836374,0.47033,0.46026,312,neotrop,migrant,2.34122474,2.34122474,32,0.6295343603,0.9530554574,0.325,0.457,0.527,hawks,insectivore,,0.52967,0.53974
104,4661,Alder Flycatcher,285,8.6052016835,0.9347610535,0.6165683692,Med,13,1.1139433523,0.2,B,486,7081357.59352873,6.8501165259,0.49895,0.51637,391,neotrop,migrant,1.4389805708,1.4389805708,14,4.0522471384,0.7186506197,0.523,0.639,0.674,hawks,insectivore,,0.50105,0.48363
105,4670,Least Flycatcher,331,5.6493997148,0.7520023037,0.4870296173,Med,10,1,-1.2,B,577,6131756.33653191,6.7875848885,0.50393,0.50852,400,neotrop,migrant,1.5567887134,1.5567887134,18,3.031666396,0.5956731335,0.58,0.734,0.77,hover/glean,insectivore,,0.49607,0.49148
106,4680,Hammond's Flycatcher,142,6.0542873507,0.7820630297,0.4748122546,Med,10,1,1,B,204,2753774.8141428,6.4399284236,0.52135,0.49652,153,neotrop,migrant,2.4834686099,2.4834686099,23,5.9643113444,0.7491008914,0.338,0.43,0.465,hawks,insectivore,,0.47865,0.50348
107,4690,Dusky Flycatcher,152,6.4416051994,0.8089941038,0.5474678662,Med,10,1,-1.1,Y,236,2675612.28144056,6.4274231808,0.53904,0.52502,167,neotrop,migrant,2.4308624016,2.4308624016,26,5.9444400779,0.6955405623,0.355,0.454,0.513,hawks,insectivore,,0.46096,0.47498
108,4691,Gray Flycatcher,61,4.8314845938,0.684080599,0.3797051877,Med,13,1.1139433523,5.2,Y,86,1148249.11131,6.060036118,0.46741,0.48913,55,neotrop,migrant,1.958142002,1.958142002,16,7.5056030609,0.365554071,0.295,0.377,0.459,hawks,insectivore,,0.53259,0.51087
109,4700,Buff-breasted Flycatcher,10,,,,,8,0.903089987,,,,512383.0496289,5.7095947542,,,,neotrop,migrant,2.4999455943,1.4192592132,9,,,0,0,0,hawks,insectivore,,1,1
110,4710,Vermilion Flycatcher,26,2.4394412269,0.3872903592,0.2701986462,Low,14,1.1461280357,-2.3,Y,27,7069807.29007294,6.8494075759,0.39533,0.47469,18,neotrop,migrant,3.0222588919,2.3471934727,27,7.8611187847,0.5116359614,0.346,0.462,0.462,hawks,insectivore,,0.60467,0.52531
112,4740,Horned Lark,657,29.062709603,1.4633361024,0.9083872878,High,34.5,1.5378190951,-2.2,Y,960,15632904.4376425,7.1940396731,0.48003,0.44997,812,short,migrant,2.7428455041,2.7121301661,43,3.0259760134,1.5736289809,0.431,0.53,0.574,ground glean,granivore,,0.51997,0.55003
113,4750,Black-billed Magpie,209,10.461492439,1.0195936455,0.6908289049,High,177.5,2.2491983574,-0.3,Y,444,5286522.25094707,6.7231700645,0.45358,0.43082,358,resid,resid,2.2795867855,2.2795867855,24,4.5589837544,0.6235399516,0.555,0.689,0.732,ground glean,omnivore,,0.54642,0.56918
